Wind Power,Amount of Cargo,Auxiliary Engine Power,Main Engine Power,LOA,Breath,Draught,Light Weight,Month,Latitude,Longitude,Speed,Consumption_LSHFO
2,50999.821,770,9480,190,32.26,12.54,11149.4,January,26.995,56.366,0,2
2,50999.821,770,9480,190,32.26,12.54,11149.4,January,26.995,56.366,0,0.4
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,26.995,56.366,0,0.1
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,26.995,56.366,0,0.5
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,26.96,56.43,0,0.9
2,50999.821,770,9480,190,32.26,12.54,11149.4,January,25.35,58.317,7.555555556,18.6
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,23.682,62.941,11.33333333,26
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,21.854,67.315,11.56521739,25.6
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,18.533,70.624,11.375,26.4
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,14.72,72.099,10.86956522,25.6
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,11.229,74.674,10.75,26.4
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,7.658,77.098,11.04166667,26.3
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,5.708,80.96,11.16666667,26.7
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,5.706,85.126,10.82608696,25.9
4,50999.821,770,9480,190,32.26,12.54,11149.4,January,5.708,85.498,10.375,25.5
5,50999.821,770,9480,190,32.26,12.54,11149.4,January,5.694,93.697,10.45833333,25.6
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,5.78,97.173,9.608695652,24.6
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,3.186,100.536,10.70833333,25.4
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,1.192,103.872,10.20833333,26.8
3,50999.821,770,9480,190,32.26,12.54,11149.4,January,4.686,106.225,11.29166667,26.3
5,50999.821,770,9480,190,32.26,12.54,11149.4,January,6.06,109.951,10.21276596,25.9
6,50999.821,770,9480,190,32.26,12.54,11149.4,January,9.046,111.124,8.208333333,26.4
6,50999.821,770,9480,190,32.26,12.54,11149.4,January,10.962,112.528,6,28.4
6,50999.821,770,9480,190,32.26,12.54,11149.4,January,13.343,114.359,7.583333333,28.2
6,50999.821,770,9480,190,32.26,12.54,11149.4,January,16.238,116.586,9.041666667,27.2
6,50999.821,770,9480,190,32.26,12.54,11149.4,January,19.321,118.986,9.583333333,25.2
